EElowEtaGold 	 199698 	 199754 	 0.9910 	0.0017 	 0 	 0
EElowEtaGold 	 199755 	 200245 	 0.9915 	0.0012 	 0 	 0
EElowEtaGold 	 200246 	 201168 	 0.9915 	0.0012 	 0 	 0
EElowEtaGold 	 201169 	 201229 	 0.9809 	0.0018 	 0 	 0
EEhighEtaBad 	 190645 	 191833 	 0.9988 	0.0010 	 0 	 0
EEhighEtaBad 	 191834 	 194108 	 0.9999 	0.0010 	 0 	 0
EEhighEtaBad 	 194109 	 195774 	 1.0001 	0.0007 	 0 	 0
EEhighEtaBad 	 195775 	 196250 	 0.9999 	0.0009 	 0 	 0
EEhighEtaBad 	 196251 	 196531 	 0.9995 	0.0010 	 0 	 0
EEhighEtaBad 	 198111 	 198913 	 0.9989 	0.0010 	 0 	 0
EEhighEtaBad 	 198914 	 199429 	 1.0073 	0.0009 	 0 	 0
EEhighEtaBad 	 199430 	 199608 	 1.0043 	0.0011 	 0 	 0
EEhighEtaBad 	 199698 	 199754 	 1.0064 	0.0015 	 0 	 0
EEhighEtaBad 	 199755 	 200245 	 1.0072 	0.0009 	 0 	 0
EEhighEtaBad 	 200246 	 201168 	 1.0088 	0.0009 	 0 	 0
EEhighEtaBad 	 201169 	 201229 	 0.9777 	0.0022 	 0 	 0
EEhighEtaGold 	 190645 	 191833 	 0.9870 	0.0011 	 0 	 0
EEhighEtaGold 	 191834 	 194108 	 0.9881 	0.0010 	 0 	 0
EEhighEtaGold 	 194109 	 195774 	 0.9883 	0.0008 	 0 	 0
EEhighEtaGold 	 195775 	 196250 	 0.9881 	0.0010 	 0 	 0
EEhighEtaGold 	 196251 	 196531 	 0.9878 	0.0010 	 0 	 0
EEhighEtaGold 	 198111 	 198913 	 0.9872 	0.0011 	 0 	 0
EEhighEtaGold 	 198914 	 199429 	 0.9957 	0.0010 	 0 	 0
EEhighEtaGold 	 199435 	 199608 	 0.9926 	0.0011 	 0 	 0
EEhighEtaGold 	 199698 	 199754 	 0.9947 	0.0015 	 0 	 0
EEhighEtaGold 	 199755 	 200245 	 0.9955 	0.0010 	 0 	 0
EEhighEtaGold 	 200246 	 201168 	 0.9972 	0.0010 	 0 	 0
EEhighEtaGold 	 201169 	 201229 	 0.9657 	0.0022 	 0 	 0
